filename	transcription
common_voice_ca_31222391.wav	el servei postal dels estats units gestiona l'oficina de correus de fora city
common_voice_ca_30855397.wav	posteriorment va ser decapitat el seu cap es va enviar embotellat després és afí
common_voice_ca_31261312.wav	prou es vanten de dir res i valia
upc_ca_pau_101094.wav	és per tant l'administració central qui té totes les competències
upc_ca_pau_101076.wav	el senyor casa joana i pla de llorenç intervé sense fer ús del micròfon
upc_ca_ona_100032.wav	això sí que ho reconeix que hi treballem perquè no hi havia producte
upc_ca_pau_101034.wav	és que era una llista era un inventari
common_voice_ca_31783620.wav	t'has fixat quim pitar fill fill meu
common_voice_ca_31168000.wav	fan treballs manuals i aprenen coses sobre els animals de l'estany
common_voice_ca_18179316.wav	sa pobresa no és vilesa
upc_ca_pau_101134.wav	per tant el fòrum també té una presència i també té una manifestació que no és territorial sinó que es manifesta en l'espai virtual d'internet que és el que anomenem el fòrum virtual és el fòrum la xarxa
common_voice_ca_31225995.wav	p obra al museu reina sofia
common_voice_ca_30768701.wav	
common_voice_ca_28791268.wav	tot el complex està protegida contra els terratrèmols per un anell subterrani de goma
upc_ca_ona_100041.wav	per exemple al país basc nou té el país basc va a lleó a castella lleó
common_voice_ca_31471261.wav	guarda al cis noranta-dos noranta-tres vint-i-sis quaranta-u com a telèfon de l'alè dis villaverde
common_voice_ca_19290202.wav	anem a gàtova
upc_ca_pau_101082.wav	vull que se'ls pregunti com es diu vostè doncs amb dic josep potser i no es diu josep potser es diu ramon però com a mínim una foto i el nom josep si no volen donar res més
upc_ca_pau_101091.wav	em sembla que a diferència del senyor boada també uneix que comuniqui l'interior de les comarques gironines olot amb la costa brava és més necessari que sigui potent i desdoblat
common_voice_ca_31319263.wav	albert gelis juanola és un nedador nascut a girona
upc_ca_pau_101097.wav	una cosa és fer una campanya dins de catalunya o dins de l'estat espanyol i una altra cosa és fer una campanya a fora
common_voice_ca_19908846.wav	allà treballen més de mil persones
upc_ca_ona_100026.wav	nosaltres ho farem al revés de com ho volen pretendre vostès vostès incrementant el cànon per tant accentuat la no competitivitat per tant invitant a la deslocalització
upc_ca_ona_100091.wav	ens sembla que a diferència del senyor boada també un eix que comuniqui l'interior de les comarques gironines olot amb la costa brava és més necessari que sigui potent i desdoblat
common_voice_ca_31342983.wav	no ja dimorfisme sexual en el color
upc_ca_ona_100016.wav	vostè ens ha vingut a dir que hi ha unes grans diferències entre la uab ser i la comissió
common_voice_ca_31085491.wav	aquests també tenien un origen museístic
upc_ca_pau_101056.wav	i amb l'afany de ser breu perquè haig de ser breu la llei l'esborrany que jo he tingut a les mans i amb què ha participat en alguna sessió en un àmbit molt concret d'un subsector molt concret per a mi per una figura jurídica és surf
common_voice_ca_31434512.wav	diversos models dimarts s'han fet servir per crear i mag aquàrium
upc_ca_pau_101018.wav	i no dubti que quan jo tingui notificació de qualsevol control intern ho torno a dir impulsats per la mateixa conselleria li ho donaré
upc_ca_pau_101054.wav	nosaltres en aquests moments no demanem ja protecció com demanava sempre al sector tèxtil protegir unos protegir un ús no en aquests moments no demanem protecció no la volem i ho dic en veu alta
upc_ca_pau_101014.wav	i estem parlant d entitats que lloguen pisos per després fer de mediadors ho estem parlant d'ajuntaments que lloguen pisos distribuïts per les ciutats per no fer guetos
common_voice_ca_31302556.wav	josep torredeflot i soler va ser un futbolista nascut a barcelona
common_voice_ca_31750472.wav	per cap d'any na carla eina sansa aniran a castellnou
upc_ca_ona_100064.wav	o ara aquí per exemple tenim escriptura i esborranys impresos oficials biblioteca bases de dades sortida al carrer i etiquetes podem sortir i anar aquí i anar allà anar allà etcètera
upc_ca_ona_100044.wav	no hi ha cap més esport arreu del món però jo parlo per catalunya que paga per anar a practicar l'esport
upc_ca_ona_100097.wav	una cosa és fer una campanya dins de catalunya o dins de l'estat espanyol i una altra cosa és fer una campanya fora
upc_ca_pau_101084.wav	jo amb el permís dels meus companys vaig dir a l'inspector d'aquí de la via laietana que amb això no hi estàvem d'acord
upc_ca_pau_101062.wav	el nomenament del nou director serà en aquest sentit fonamental i desitgem que no respongui als criteris anteriors sinó que respongui als criteris que vostè ha explicat
common_voice_ca_31340504.wav	actualment és síndic de greuges de la universitat de vic
common_voice_ca_31497154.wav	el poble té un gran context històric
common_voice_ca_30828394.wav	el riu gais hi ha poblacions de salmó platejat truita de clark i truita arc de sant martí d'hivern
common_voice_ca_19911316.wav	el palau de benifairó dels balls va tenir gran importància
upc_ca_ona_100014.wav	i estem parlant d entitats que lloguen pisos per després fer de mediadors ho estem parlant d ajuntaments que allò que en pisos distribuïts per les ciutats per no fer guetos
upc_ca_ona_100098.wav	en aquest sentit li haig de dir que el nivell assistencial de la malaltia inflamatòria a catalunya en aquests moments és idèntica a la que puguin donar-li el remei i el clínic quan de tractaments i quanta un tipus de co
upc_ca_pau_101000.wav	igualment la regulació de la conservació de la història clínica permetrà resoldre casos que a hores d'ara van arribant donant un
upc_ca_ona_100067.wav	aleshores és aquest tipus d'informació que m'agradaria si la tenen que subministra si és a dir sobre els estudiants matriculats quants aproven e quants es mantenen
upc_ca_pau_101066.wav	si creiem que aquestes tecnologies han d'utilitzar en benefici de la cultura de l'aigua l'asil entre cultures persones a lletra de la disminució de la separació ens en sortirem
upc_ca_ona_100051.wav	raula suposo que per la petició que li ha fet l'il·lustre diputat senyor xavier soy
upc_ca_ona_100065.wav	hom imagina el que desitja hom obté el que imagina i finalment hom creà el que vol
upc_ca_ona_100057.wav	és a dir és passar per damunt navegant no és un element transformador tal com està redactat ara perquè no va al fons
common_voice_ca_31814500.wav	no li fa cap gràcia que el substitueixi moro
common_voice_ca_20502079.wav	edifici en cantonada i pati posterior de planta baixa i dues plantes pis
common_voice_ca_30763773.wav	em dic aura parreño p a r r a ella o
upc_ca_ona_100053.wav	el petit comerç ho fa simplement per una raó de preus i per una raó d'estalvi no precisament per una raó que es beneficia o que compra per impuls
common_voice_ca_31132759.wav	la fosa de ferro està determinada pel seu contingut de carbó
upc_ca_ona_100094.wav	és per tant l'administració central qui té totes les competència
common_voice_ca_30882479.wav	un obrer amb casc parla per telèfon
common_voice_ca_30935636.wav	nascuda a més xirgu org sumen entrenava per a una carrera com a cantant a berlín i a dresden
common_voice_ca_31056644.wav	les probabilitats semblen favorables
common_voice_ca_19503277.wav	aquest nom és la meva intervenció manual guerra civil britànica
common_voice_ca_30816592.wav	la xifra de casos de dilluns era superior
upc_ca_ona_100099.wav	llavors arriba uns moments que les dones quan ja no podem més ho hem de deixar de treballar o hem d'agafar nus que ens facin un acomiadament improcedent però com si fos procedent perquè no podem continuar
upc_ca_ona_100073.wav	mirant al futur potser corregirem allò que interessa el país i el nostre grup i el nostre govern estarà molt molt agraïts de la col·laboració que puguem rebre del seu col·legi
upc_ca_ona_100089.wav	no hi ha concrecions de les mesures sobre les afectacions que en el cas del riu són impressionants i per la canalització que si porta a terme també
common_voice_ca_31089514.wav	marca el cis vuitanta-set noranta-u setanta-quatre déu
upc_ca_pau_101002.wav	molt breument li volem agrair doncs les seves exposicions tant la d'ahir com avui a la seva respostes en nom del nostre grup parlamentari
common_voice_ca_31325506.wav	josep meseguer otger és un empresari i polític nascut a santa linya
common_voice_ca_31719365.wav	dimarts na carla i nadia aniran a torres de segre
upc_ca_ona_100081.wav	un registre de totes aquelles persones que sense sostre va anar un menjador va anar algun lloc a dutxar-se i van a canviar-se de roba
common_voice_ca_30886880.wav	baile va néixer a sheffield anglaterra
upc_ca_ona_100004.wav	el que plantejava l'acompanya marisa fa un moment que s'obrien les quotes amb relació al servei domèstic i no d'altres opcions no tenia res a veure amb el mercat de treball
common_voice_ca_31402794.wav	una persona que porta una camisa ratlles auriculars i un mocador observa un carrer amb un camió gran que passa per allí
common_voice_ca_31222392.wav	el sínode de toledo havia de decidir sobre el conflicte
upc_ca_pau_101100.wav	el xx divuitè és una iniciativa una proposició no de llei sobre la necessitat de dotar el municipi de teià a la comarca del maresme d'un institut d'ensenyament secundari és una iniciativa impulsada per tots els grups parlamentaris
upc_ca_pau_101001.wav	després a poc a poc han anat sorgint altres síndics locals no
upc_ca_ona_100035.wav	i sàpiga que des del meu punt de vista el que passarà serà que el proper govern al decidiran els ciutadans de catalunya a les urnes i d'aquí un any i mig
upc_ca_pau_101085.wav	amb això
common_voice_ca_31340621.wav	francesc balagué i anglada va ser un empresari nascut a figueres
upc_ca_ona_100075.wav	vostè ens ha parlat de l'esforç inversor de l'institut català de finances i del paper del pressupost de la generalitat
common_voice_ca_30976359.wav	el govern de la ciutat es divideix en els poders executiu i legislatiu
common_voice_ca_31135103.wav	m'ho fa és la contracció de motor fregat la paraula alemanya que s'utilitza per a motocicleta
upc_ca_ona_100003.wav	volem desitjar-li èxits per aquestes jornades doncs que organitza la setmana entrant la federació iberoamericana de voluntaris aquí a barcelona i també èxits a la seva presidència europea també de voluntaris
common_voice_ca_31507051.wav	el pioner memòria al parc que no tots any leigh ara té jardins i camins per l'esbarjo passiu
upc_ca_ona_100104.wav	és perquè totes les comarques puguin arribar a saber cap a on anem i cap a on ens encaminem i amb quines prioritzar
upc_ca_ona_100063.wav	en aquest sentit li donem senyor conseller ara sí que em dirigeixo a vostè ple suport
upc_ca_pau_101009.wav	penso que és més com a mínim pedagògic sobretot per a vostès que no pas escoltar un rotllo d'una hora llegir d'un paper
upc_ca_ona_100001.wav	per tant des del primer moment vaig ser molt sensible en aquest tema vaig tenir bona relació en aquell moment amb el síndic de la paeria després a poc a poc han anat sorgint altra síndics locals no
upc_ca_pau_101064.wav	o ara aquí per exemple tenim escriptura i esborranys impresos oficials biblioteca bases de dades sortida al carrer i etiquetes podem sortir i anar aquí i anellar anar allà etcètera
common_voice_ca_31420992.wav	la seva probòscide és relativament curta i estreta i de longitud similar al fèmur davanter
common_voice_ca_30798361.wav	si s'aprova es pot sol·licitar fer l'examen pràctic de conducció
common_voice_ca_30858097.wav	estat islàmic confirma que han comès l'atemptat
upc_ca_ona_100037.wav	realment al ceip no es poden tocar perquè són decrets reials vull dir que no es pot tocar però jo crec que de mica en mica ho anirem tocant
upc_ca_ona_100010.wav	per tant no puc
upc_ca_pau_101030.wav	o aquelles tres mil persones que reben el subsidi d'ingressos mínims de la lismi que cobra només dos mil noranta-vuit euros l'any estic dient l'any
upc_ca_pau_101103.wav	aquí se'ns ens va dir que es faria un pla director d'educació especial i aquest és el tema important el tenim o no el tenim
common_voice_ca_31083168.wav	fora de l'índex hi ha altres tres peces dues de les quals també estan duplicar les
upc_ca_ona_100030.wav	o aquelles tres mil persones que reben el subsidi d'ingressos mínims de la lismi que cobren només dos mil noranta-vuit euros l'any estic dient l'any
common_voice_ca_30828399.wav	el senyor jacobo buits contraataca
common_voice_ca_30871150.wav	l'amfiteatre és el local més concorregut del complex
upc_ca_ona_100082.wav	vull que se'ls pregunti com es diu vostè doncs em dic josep potser no es diu josep potser es diu ramon però com a mínim una foto i el nom josep sinó volen donar res més
common_voice_ca_28791267.wav	fa molt no nova semblaves de recuperar mai d'aquesta pèrdua
upc_ca_pau_101048.wav	el mes de juny de l'any dos mil el secretari general de l'esport va trametre la secretaria general del departament un nou avant projecte sobre funcions organització i funcionament del consell
common_voice_ca_31811352.wav	demà en maria i en què hi aniran a sant climent de llobregat
upc_ca_pau_101039.wav	per tant potser vindrà però també doni'm un cert marge de capacitat i de confiança en l'equip de la conselleria per intentar evitar que no arribi
common_voice_ca_20227727.wav	si poden distingir dues covetes bàsicament similars
common_voice_ca_31721010.wav	demà en blai en jan iran a segar
upc_ca_ona_100074.wav	ara deixin dir-li dues coses de gran discrepància entre vostès i nosaltres dues només dues de les multes més que hi podria haver però només dues molt importants
upc_ca_ona_100028.wav	de conformitat amb la disposició final primera i el que estableix l'article cent onze punt ús del reglament del parlament de catalunya l'aprovació de la proposta de reforma del reglament del parlament requereix l'aprovació amb votació final per la majoria absoluta
upc_ca_ona_100059.wav	no sé si és manca de coratge manca de personalitat o que veuen una manca de coratge i manca de personalitat als agents que han de compondre aquest triangle trinitari que té un misteri que vostè encara no ens ha resolt
common_voice_ca_31074096.wav	es va traslladar a madrid de forma clandestina
upc_ca_ona_100068.wav	i llavors el rector així diu s'ha de dir això perquè no passi això
upc_ca_ona_100102.wav	el nostre grup parlamentari votarà a favor del punt un punt a i un punt bé però en canvi no podrà donar recolzament als altres tres punts
upc_ca_ona_100092.wav	per tant doncs una part de l'eix de les gavarres com a mínim pensem que caldria desdoblar-la fins a palamós
common_voice_ca_30816683.wav	els cupaires continuen formant part de la comissió de territori
upc_ca_pau_101006.wav	si algú té alguna pregunta a la faríem si no ho repeteixo donaríem per acabada aquesta primera part de la reunió i acomiadarien les persones que han vingut a comparèixer
upc_ca_pau_101072.wav	i és un refugi biològic el riu tort curiosament i és refugi biològic des de fa molts anys potser portem quinze anys o divuit anys com a refugi biològic
upc_ca_pau_101012.wav	debat i votació de la sol·licitud de compareixença del partit d'iniciativa per catalunya-verds
common_voice_ca_31173901.wav	john ramifica l'amarg sorprenc sentinella xiular bagenca
upc_ca_pau_101073.wav	mirant el futur potser corregirem allò que interessa el país i el nostre grup i el nostre govern estarà molt molt agraïts de la col·laboració que puguem rebre del seu col·legi
upc_ca_ona_100043.wav	però sí que demanem i ho treballarem és que la taxa aquesta taxa creada per anar a pescar per anar a fer un esport que som els únics que paguem per fer un esport
common_voice_ca_31168100.wav	pilar veiés i de luna és un artista nascuda a vic
common_voice_ca_31792897.wav	divendres el llop i na núria volen anar a bunyola
common_voice_ca_30858248.wav	també va donar totes les seves propietats i terrenys els pobres
upc_ca_ona_100049.wav	aquest projecte d'alguna manera intentava donar resposta al que els hi ha expressat anteriorment separar desglossar tot el que era govern del que són estructura i funcionar
